,Title,Directed by,Screenplay by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production companies,Distributed by,Release dates,Running time,Country,Languages,Budget,Box office,Written by,Production company,Release date,Language,Countries,Story by,Spanish,Narrated by,Country of origin,Original language,Producers,Editor,Original release,Location,Associated album,Start date,End date,Legs,No. of shows,Supporting acts,Attendance,Composer,Executive producers,French,Venue,Kanji,Literal meaning,Transcriptions,Revised Hepburn,Traditional Chinese,Simplified Chinese,Hanyu Pinyin,Genre,Created by,Editors,Released,Length,Label,Producer,Executive producer,Original network,Portuguese,Animation by,Hangul,Revised Romanization,Turkish,Italian,Voices of,Original languages,No. of seasons,No. of episodes,Indonesian,German,Literally,Norwegian,Polish,Dutch,Hanja,Swedish,Music,Lyrics,Book,Basis,Productions,Composers,Camera setup,Date,Attack type,Weapon,Victim,Perpetrator,Motive,Accused,Convictions,Outcome,Sentence,McCune–Reischauer,Production locations,,Recorded,Original work,Owner,Years,Film(s),Television series,Video game(s),Toy(s),Comics,Short film(s),Web series,Animated series,Television special(s),Play(s),Novel(s),Traditional
343,Spenser Confidential,Peter Berg,"[""Sean O'Keefe"", 'Brian Helgeland']",Robert B. Parker 's Wonderland by Ace Atkins,"['Neal H. Moritz', 'Toby Ascher', 'Mark Wahlberg', 'Stephen Levinson', 'Peter Berg']","['Mark Wahlberg', 'Winston Duke', 'Alan Arkin', 'Iliza Shlesinger', 'Bokeem Woodbine', 'Marc Maron', 'Austin Post']",Tobias A. Schliessler,Mike Sale,Steve Jablonsky,"['Original Film', 'Closest to the Hole Productions', 'Leverage Entertainment', 'Film 44']",Netflix,,111 minutes,United States,,,,,,"['March 6, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Lost Girls,Liz Garbus,,Lost Girls: An Unsolved American Mystery by Robert Kolker,"['Anne Carey', 'Kevin McCormick']","['Amy Ryan', 'Thomasin McKenzie', 'Lola Kirke', 'Oona Laurence', 'Dean Winters', 'Miriam Shor', 'Reed Birney', 'Kevin Corrigan', 'Gabriel Byrne']",Igor Martinovic,Camilla Toniolo,Anne Nikitin,"['Archer Gray', 'Langley Park Productions']",Netflix,"['January 28, 2020 ', 'March 13, 2020 ']",95 minutes,United States,,,,Michael Werwie,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Ultras,Francesco Lettieri,,,,"['Aniello Arena', 'Ciro Nacca', 'Simone Borrelli']",,,Liberato,"['Indigo Film', 'Mediaset']",Netflix,,108 minutes,Italy,,,,Francesco Lettieri,,"['March 9, 2020']",Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,The Occupant,"['David Pastor', 'Àlex Pastor']",,,"['Adrián Guerra', 'Núria Valls', 'Marta Sánchez']","['Javier Gutiérrez', 'Mario Casas', 'Bruna Cusí']",Pau Castejón,Martí Roca,Lucas Vidal,,Netflix,,103 minutes,Spain,,,,"['David Pastor', 'Àlex Pastor']","Nostromo 
Pictures","['March 25, 2020 ']",Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Maska,Neeraj Udhwani,,,Seher Latif Shivani Saran,"['Manisha Koirala', 'Javed Jaffrey', 'Nikita Dutta', 'Shirley Setia', 'Prit Kamani']",Eeshit Narain,Farooq Hundekar,Akshay Raheja Mikey McCleary Ketan Sodha,,Netflix,,112 minutes,India,,,,Ishita Moitra Neeraj Udhwani,Mutant Films,['27 March 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,The Decline,Patrice Laliberté,Charles Dionne Nicholas Krief Patrice Laliberté,,Julie Groleau,Guillaume Laurin Réal Bossé Marc-André Grondin Marie-Évelyne Lessard,Christophe Dalpé,Arthur Tarnowski,Jason Sharp,,Netflix,,,Canada,,,,,Couronne Nord,"['February 28, 2020 ']",French,,,,,,,,,,,,,,,,,,,,Jusqu'au déclin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Uncorked,Prentice Penny,,,"['Prentice Penny', 'Jill Ahrens', 'Ryan Ahrens', 'Ben Renzo', 'Datari Turner', 'Chris Pollack', 'Jason Michael Berman']","['Mamoudou Athie', 'Courtney B. Vance', 'Niecy Nash', 'Matt McGorry', 'Sasha Compère', 'Gil Ozeri', 'Kelly Jenrette', 'Bernard David Jones', 'Meera Rohit Kumbhani']",Elliot Davis,Sandra Montiel,Hit-Boy,"['Forge Media', 'Argent Pictures', 'Mandalay Pictures']",Netflix,,104 minutes,United States,,,,Prentice Penny,,"['March 27, 2020 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Coffee & Kareem,Michael Dowse,,,"['Mike Falbo', 'Ed Helms']","['Ed Helms', 'Terrence Little Gardenhigh', 'Betty Gilpin', 'RonReaco Lee', 'Andrew Bachelor', 'David Alan Grier', 'Taraji P. Henson']",Brian Burgoyne,Daniel Gabbe,Joseph Trapanese,,Netflix,,88 minutes,United States,,,,Shane Mack,['Pacific Electric Picture Co.'],"['April 3, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,The Main Event,Jay Karas,Larry Postel Jim Mahoney Zach Lewis Peter Hoare,,Richard Lowell,"['Seth Carr', 'Tichina Arnold', 'Ken Marino', 'Aryan Simhadri', 'Momona Tamada', 'Glen Gordon', 'Keith Lee', 'Babatunde Aiyegbusi', 'Josh Zaharia', 'Dallas Young', 'Bodhi Sabongui', 'Renee Paquette', 'Matt Polinsky', 'Kofi Kingston', 'Stephen Farrelly', 'Mike ""The Miz"" Mizanin', 'Adam Pally']",Karsten Gopinath,Dan Schalk,Rupert Parkes,,Netflix,,101 minutes,United States,,,,,WWE Studios,"['April 10, 2020']",English,,Larry Postel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richard Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Love Wedding Repeat,Dean Craig,Dean Craig,Plan de Table by Francis Nief and Christelle Raynal,"['Piers Tempest', 'Guglielmo Marchetti']","['Sam Claflin', 'Olivia Munn', 'Freida Pinto', 'Eleanor Tomlinson', 'Joel Fry', 'Tim Key', 'Aisling Bea', 'Jack Farthing', 'Allan Mustafa']",Hubert Taczanowski,Christian Sandino-Taylor,,"['Notorious Pictures', 'Tempo Productions']",Netflix,,100 minutes,,,,,,,['10 April 2020'],English,"['United Kingdom', 'Italy']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Tigertail,Alan Yang,,,"['Charles King', 'Kim Roth', 'Poppy Hanks', 'Alan Yang']","['Tzi Ma', 'Christine Ko', 'Hayden Szeto', 'Lee Hong-chi', 'Kunjue Li', 'Fiona Fu', 'Yang Kuei-mei', 'James Saito', 'Joan Chen']",Nigel Bluck,Daniel Haworth,Michael Brook,,Netflix,,91 minutes,United States,"['English', 'Taiwanese Hokkien', 'Mandarin']",,,Alan Yang,MACRO,"['April 10, 2020']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Earth and Blood,Julien Leclercq,,,,"['Sami Bouajila', 'Eriq Ebouaney', 'Samy Seghir']",,,,"['Labyrinthe Films', 'Umedia']",Netflix,,80 minutes,,,,,,,"['April 17, 2020']",French,"['France', 'Belgium']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Rising High,Cüneyt Kaya,,,,"['David Kross', 'Frederick Lau', 'Janina Uhse']",,,,,Netflix,,94 minutes,Germany,,,,Cüneyt Kaya,,"['April 17, 2020']",German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Sergio,Greg Barker,,,"['Wagner Moura', 'Brent Travers', 'Daniel Dreifuss']","['Wagner Moura', 'Ana de Armas', 'Garret Dillahunt', 'Clemens Schick', 'Will Dalton', 'Bradley Whitford', ""Brían F. O'Byrne""]",Adrian Teijido,Claudia Castello,Fernando Velázquez,"['Black Rabbit Media', 'Anima Pictures', 'Itapoan']",Netflix,"['January 28, 2020 ', 'April 17, 2020 ']",118 minutes,United States,,,,Craig Borten,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,The Willoughbys,Kris Pearn,"['Kris Pearn', 'Mark Stanleigh']",The Willoughbys by Lois Lowry,"['Brenda Gilbert', 'Luke Carroll']","['Will Forte', 'Maya Rudolph', 'Alessia Cara', 'Terry Crews', 'Martin Short', 'Jane Krakowski', 'Seán Cullen', 'Ricky Gervais']",Sebastian Brodin,"['Fiona Toth', 'Ken Schretzmann']",Mark Mothersbaugh,"['Netflix Animation', 'Bron Studios', 'Creative Wealth Media']",Netflix,,92 minutes,,,,,,,"['April 22, 2020']",English,"['Canada', 'United States']",Kris Pearn,,Ricky Gervais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Time to Hunt,Yoon Sung-hyun,,,Handae Rhee,"['Lee Je-hoon', 'Ahn Jae-hong', 'Choi Woo-shik', 'Park Jung-min', 'Park Hae-soo']",Lim Won-geun,"['Yoon Sung-hyun', 'Wang Sung-ik']",,,Netflix,"['February 22, 2020 ', 'April 23, 2020 ']",134 minutes,,,,,Yoon Sung-hyun,Sidus Pictures,,Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Extraction,Sam Hargrave,Joe Russo,"Ciudad by Ande Parks, Joe Russo, Anthony Russo","['Joe Russo', 'Anthony Russo', 'Mike Larocca', 'Chris Hemsworth', 'Eric Gitter', 'Peter Schwern']","['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Priyanshu Painyuli', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour']",Newton Thomas Sigel,"['Peter B. Ellis', 'Ruthie Aslan']","['Henry Jackman', 'Alex Belcher']","['AGBO', 'Thematic Entertainment', 'India Take One Productions', 'T.G.I.M. Films']",Netflix,,117 minutes,United States,,$65 million,,,,"['April 24, 2020']",English,,"['Ande Parks', 'Joe Russo', 'Anthony Russo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Dangerous Lies,Michael Scott,,,"['Margaret H. Huddelston', 'Stephanie Slack', 'Michael Scott', 'Harvey Kahn', 'David Golden', 'Bianca Versteego']","['Camila Mendes', 'Jessie T. Usher', 'Jamie Chung', 'Cam Gigandet', 'Sasha Alexander', 'Elliott Gould']",Ronald Richard,Alison Grace,James Jandrisch,,Netflix,,96 minutes,United States,,,,David Golden,['Off Camera Entertainment'],"['April 30, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Rich in Love,"['Bruno Garotti', 'Anita Barbosa']",,,,"['Danilo Mesquita', 'Giovanna Lancellotti', 'Fernanda Paes Leme']",,,,,Netflix,,104 minutes,Brazil,,,,"['Bruno Garotti', 'Sylvio Gonçalves']",Ananã Produções,['30 April 2020'],Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ricos de Amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,All Day and a Night,Joe Robert Cole,,,"['Nina Jacobson', 'Brad Simpson', 'Jared Ian Goldman']","['Ashton Sanders', 'Jeffrey Wright', 'Regina Taylor', 'Yahya Abdul-Mateen II']",Jessica Lee Gagné,Mako Kamitsuna,Michael Abels,"['Color Force', 'Mighty Engine']",Netflix,,121 minutes,United States,,,,Joe Robert Cole,,"['May 1, 2020 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Mrs. Serial Killer,Shirish Kunder,,,"['Farah Khan', 'Shirish Kunder']","['Jacqueline Fernandez', 'Manoj Bajpayee', 'Mohit Raina']","['Ravi K. Chandran', 'Kiran Deohans']",Shirish Kunder,Shirish Kunder,,Netflix,,106 minutes,India,,,,Shirish Kunder,Three's Company Productions Pvt.Ltd,['1 May 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,The Half of It,Alice Wu,,,"['Anthony Bregman', 'M. Blair Breard', 'Alice Wu']","['Leah Lewis', 'Daniel Diemer', 'Alexxis Lemire', 'Enrique Murciano', 'Wolfgang Novogratz', 'Catherine Curtin', 'Becky Ann Baker', 'Collin Chou']",Greta Zozula,"['Ian Blume', 'Lee Percy']",Anton Sanko,,Netflix,,104 minutes,United States,,,,Alice Wu,Likely Story,"['May 1, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,The Wrong Missy,Tyler Spindel,,,"['Kevin Grady', 'Allen Covert', 'Judit Maull']","['David Spade', 'Lauren Lapkus', 'Nick Swardson', 'Geoff Pierson', 'Jackie Sandler', 'Sarah Chalke', 'Rob Schneider', 'Chris Witaske', 'Roman Reigns', 'Molly Sims']",Theo van de Sande,"['Brian Robinson', 'J.J. Titone']",Mateo Messina,,Netflix,,90 minutes,United States,,,,"['Chris Pappas', 'Kevin Barnett']",Happy Madison Productions,"['May 13, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,The Lovebirds,Michael Showalter,"['Aaron Abrams', 'Brendan Gall']",,"['Tom Lassally', 'Oly Obst', 'Martin Gero', 'Todd Schulman', 'Jordana Mollick', 'Issa Rae']","['Kumail Nanjiani', 'Issa Rae', 'Paul Sparks', 'Anna Camp', 'Kyle Bornheimer']",Brian Burgoyne,"['Robert Nassau', 'Vince Filippone']",Michael Andrews,"['Paramount Pictures', 'MRC', '3 Arts Entertainment', ""Quinn's House""]",Netflix,,87 minutes,United States,,$16 million,,,,"['May 22, 2020 ']",English,,"['Aaron Abrams', 'Brendan Gall', 'Martin Gero']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,I'm No Longer Here,Fernando Frías de la Parra,,,"['Gerardo Gatica', 'Alberto Muffelmann', 'Gerry Kim', 'Fernando Frías de la Parra']","['Juan Daniel García Treviño', 'Yahir Alday', 'Angelina Chen']",Damian Garcia,"['Yibrán Asuad', 'Fernando Frías de la Parra']",,"['Panorama Global', 'PPW Films']",Netflix,"['21 October 2019 ', '27 February 2020 ', '27 May 2020 ']",112 minutes,,"['Spanish', 'English', 'Mandarin Chinese']",,,Fernando Frías de la Parra,,,,"['Mexico', 'United States']",,Ya no estoy aquí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Intuition,Alejandro Montiel,,La Vírgen en tus Ojos by Florencia Etcheves,,"['Luisana Lopilato', 'Joaquín Furriel', 'Rafael Ferro']",,,,,Netflix,,116 minutes,Argentina,,,,Alejandro Montiel,FAM Contenidos,"['May 28, 2020']",Spanish,,,La corazonada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Choked,Anurag Kashyap,,,JAR Pictures Anurag Kashyap Dhruv Jagasia Akshay Thakker,"['Saiyami Kher', 'Roshan Mathew', 'Amruta Subhash', 'Rajshri Deshpande']",Sylvester Fonseca,Konark Saxena,Rachita Arora,JAR Pictures Good Bad Films,Netflix,,114 minutes,India,,,,Nihit Bhave,,['5 June 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,The Last Days of American Crime,Olivier Megaton,Karl Gajdusek,"['Rick Remender', 'Greg Tocchini']","['Jesse Berger', 'Jason Michael Berman', 'Barry Levine']","['Édgar Ramírez', 'Michael Pitt', 'Anna Brewster', 'Patrick Bergin', 'Sharlto Copley']",Daniel Aranyó,Mickael Dumontier,"['David Menke', 'The Limiñanas']","['Netflix', 'Radical Studios', 'Mandalay Pictures']",Netflix,,149 minutes,United States,,,,,,"['June 5, 2020']",English,,"['Rick Remender', 'Karl Gajdusek']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Da 5 Bloods,Spike Lee,,,"['Jon Kilik', 'Spike Lee', 'Beatriz Levin', 'Lloyd Levin']","['Delroy Lindo', 'Jonathan Majors', 'Clarke Peters', 'Norm Lewis', 'Isiah Whitlock Jr.', 'Mélanie Thierry', 'Paul Walter Hauser', 'Jasper Pääkkönen', 'Jean Reno', 'Chadwick Boseman']",Newton Thomas Sigel,Adam Gough,Terence Blanchard,"['40 Acres and a Mule Filmworks', 'Rahway Road', 'Lloyd Levin/Beatriz Levin Production']",Netflix,,156 minutes,United States,,$35–45 million,,"['Danny Bilson', 'Paul De Meo', 'Kevin Willmott', 'Spike Lee']",,"['June 12, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,A Whisker Away,"['Junichi Sato', 'Tomotaka Shibayama']",,,,"['Mirai Shida', 'Natsuki Hanae', 'Hiroaki Ogi']",Shinya Matsui,,Mina Kubota,"['Studio Colorido', 'Toho Animation', 'Twin Engine']",Netflix,,104 minutes,Japan,,,,Mari Okada,,"['June 18, 2020']",Japanese,,,,,,,,,,,,,,,,,,,,,,,"Wanting to Cry, I Pretend to Be a Cat",Transcriptions Revised Hepburn Nakitai Watashi wa Neko o Kaburu,Nakitai Watashi wa Neko o Kaburu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Feel the Beat,Elissa Down,,,Susan Cartsonis,"['Sofia Carson', 'Enrico Colantoni', 'Donna Lynne Champlin', 'Wolfgang Novogratz']",Amir Mokri,Jane Moran,Michael Yezerski,"['Resonate Entertainment', 'Bitter Boy Productions Ltd.', 'DeluxeFAM Contenidos']",Netflix,,107 minutes,United States,,,,"['Michael Armbruster', 'Shawn Ku']",,"['June 19, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Lost Bullet,Guillaume Pierret,,,,"['Alban Lenoir', 'Nicolas Duvauchelle', 'Ramzy Bedia']",,,,"['Inoxy Films', 'Nolita TV', 'Versus Production']",Netflix,,92 minutes,France,,,,"['Guillaume Pierret', 'Alban Lenoir', 'Kamel Guemra']",,"['June 19, 2020']",French,,,,,,,,,,,,,,,,,,,,Balle perdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,One-Way to Tomorrow,Ozan Açıktan,,,,"['Metin Akdülger', 'Dilan Çiçek Deniz', 'Tevfik Kartal']",,,,"['OG Medya', 'PToT Films']",Netflix,,90 minutes,Turkey,,,,Faruk Ozerten,,"['June 19, 2020']",Turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yarına Tek Bilet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Bulbbul.,Anvita Dutt,,,Anushka Sharma Karnesh Sharma,"['Tripti Dimri', 'Avinash Tiwary', 'Paoli Dam', 'Rahul Bose', 'Parambrata Chatterjee']",Siddharth Diwan,Rameshwar S. Bhagat,Amit Trivedi,,Netflix,,94 minutes,India,,,,Anvita Dutt,Clean Slate Filmz,['24 June 2020'],Hindi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Nobody Knows I'm Here,Gaspar Antillo,,,,"['Jorge Garcia', 'Millaray Lobos', 'Nelson Brodt', 'Juan Falcón', 'Julio Fuentes']",,,,,Netflix,,100 minutes,Chile,,,,,Fabula,"['June 24, 2020']",Spanish,,,Nadie Sabe Que Estoy Aquí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Eurovision Song Contest: The Story of Fire Saga,David Dobkin,,,"['Will Ferrell', 'Jessica Elbaum', 'Chris Henchy']","['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Melissanthi Mahut', 'Mikael Persbrandt', 'Ólafur Darri Ólafsson', 'Graham Norton', 'Demi Lovato', 'Pierce Brosnan']",Danny Cohen,Greg Hayden,Atli Örvarsson,"['Gary Sanchez Productions', 'Gloria Sanchez Productions', 'European Broadcasting Union']",Netflix,,123 minutes,United States,,$35 million,,"['Will Ferrell', 'Andrew Steele']",,"['June 26, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Under the Riccione Sun,YouNuts!,,,,"['Cristiano Caccamo', 'Davide Calgaro', 'Matteo Oscar Giuggioli', 'Ludovica Martino', 'Saul Nanni', 'Fotinì Peluso', 'Claudia Tranchese', 'Lorenzo Zurzolo', 'Isabella Ferrari']",,,Tommaso Paradiso,"['Lucky Red', 'Mediaset', 'New International']",Netflix,,101 minutes,Italy,,,,"['Enrico Vanzina', 'Caterina Salvadori', 'Ciro Zecca']",,['1 July 2020'],Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sotto il sole di Riccione,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Desperados,LP,,,"['Nathan Kahane', 'Erin Westerman', 'Kelli Konop', 'Mason Novick', 'John Finemore', 'Elizabeth Grave']","['Nasim Pedrad', 'Anna Camp', 'Lamorne Morris', 'Sarah Burns', 'Jessica Chaffin', 'Toby Grey', 'Mo Gaffney', 'Izzy Diaz', 'Robbie Amell', 'Heather Graham', 'Jessica Lowe']",Tim Orr,Christian Hoffman,Mateo Messina,"['Good Universe', 'MXN Entertainment', 'Lost City']",Netflix,,105 minutes,United States,,,,Ellen Rapoport,,"['July 3, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,The Old Guard,Gina Prince-Bythewood,Greg Rucka,"['Greg Rucka', 'Leandro Fernández']","['David Ellison', 'Dana Goldberg', 'Don Granger', 'Charlize Theron', 'A.J. Dix', 'Beth Kono', 'Marc Evans']","['Charlize Theron', 'KiKi Layne', 'Marwan Kenzari', 'Luca Marinelli', 'Harry Melling', 'Veronica Ngo', 'Matthias Schoenaerts', 'Chiwetel Ejiofor']","['Tami Reiker', 'Barry Ackroyd']",Terilyn A. Shropshire,"['Volker Bertelmann', ""Dustin O'Halloran""]","['Skydance', 'Denver and Delilah Productions', 'Marc Evans Productions']",Netflix,,125 minutes,United States,,$70 million,,,,"['July 10, 2020 ']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,The Players,Stefano Mordini,,,,"['Riccardo Scamarcio', 'Valerio Mastandrea', 'Laura Chiatti']",,,,"['102 Distribution', 'HT Film', 'Indigo Film']",Netflix,,88 minutes,Italy,,,,"['Filippo Bologna', 'Stefano Mordini']",,"['July 15, 2020']",Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gli infedeli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Fatal Affair,Peter Sullivan,,,"['Barry Barnholtz', 'Nia Long', 'Jeffrey Schenck', 'Peter Sullivan', 'Brian Nolan']","['Nia Long', 'Omar Epps', 'Stephen Bishop', 'KJ Smith']",Eitan Almagor,Randy Carter,Matthew Janszen,,Netflix,,89 minutes,United States,,,,"['Rasheeda Garner', 'Peter Sullivan']",['Hybrid Films'],"['July 16, 2020']",English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Larva,Joo-gong Maeng,,,,,,,,TUBA Entertainment TUBAn ,,,2-3 minutes,,,,,,,,,,,,,South Korea,,"['Ki-tae Kim', 'Ji-na Kim', 'Sang-koo Lee', 'Sean Song', 'Alex Sung', 'Catherine Yoon']",,26 March 2011 – present,,,,,,,,,Great Park,Sungjai Ahn Eugene Kang,,,,,,,,,,"['Animation', 'Comedy', 'Slapstick', 'Cartoon series']","TUBAn Co., Ltd",Byuong-wook Ahn Yoon-hee Jong,,,,,,"['KBS 1TV ', 'KBS 2TV ', 'JEI TV ', 'Netflix ']",,,,,,,Bum-ki Hong,Korean English,3 ,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
