,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
65,Winter on Fire: Ukraine's Fight for Freedom,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.","Documentary, History, War",Not Rated,movie,102,2015-01-01,Evgeny Afineevsky,"His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit","United Kingdom, Ukraine, United States",Netflix Afineevsky - Tolmor Productions Urkstream.tv SPN Productions Passion Pictures Campbell Grobman Films Rock Paper Scissors Entertainment,Nominated for 1 Oscar. 2 wins & 5 nominations total,"20,103",8.3
66,My Beautiful Broken Brain,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.","Documentary, Biography",Mature Audiences,movie,84,2016-01-01,Sophie Robinson Lotje Sodderland,"David Lynch, Sophie Robinson, Hente Sodderland",United Kingdom,,2 wins & 6 nominations,"2,405",7.1
67,Team Foxcatcher,"Documentary filmmaker Jon Greenhalgh examines the life of Dave Schultz, a professional wrestler who was part of 'Team Foxcatcher', funded by multi-millionaire John du Pont.","Documentary, Biography, Crime",Mature Audiences,movie,90,2016-01-01,,"John du Pont, Dave Schultz, Mike Gostigian",United States,,3 nominations,"7,032",7.2
68,Tony Robbins: I Am Not Your Guru,"TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind the scenes of his mammoth seminar ""Date Wit...",Documentary,Mature Audiences,movie,115,2016-01-01,,"Sage Bonnie Humphrey, Steven Kronick, Anthony Robbins",United States,,3 wins & 1 nomination,"4,621",6.6
69,I'll Sleep When I'm Dead,A former gangster reenters the criminal underworld after his brother suspiciously commits suicide.,"Crime, Drama, Mystery",Mature Audiences,movie,79,2004-01-01,Justin Krook,"Clive Owen, Malcolm McDowell, Jonathan Rhys Meyers","United Kingdom, United States","['City Room Creative', 'Hyperion Media Group', 'MediaWeaver Productions', 'Fancy Film Post Services']",1 nomination,"8,870",5.8
70,Extremis,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.","Documentary, Short",Parental Guidance,movie,24,2016-01-01,Dan Krauss,"Monica Bhargava, Jessica Zitter",United States,f/8 Filmworks,Nominated for 1 Oscar. 2 wins & 5 nominations total,"2,586",7.3
71,The White Helmets,"As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.","Documentary, Short, War",Mature Audiences,movie,40,2016-01-01,Orlando von Einsiedel,"Dana Abed, Tia Alkerdi, Khalid Farah",United Kingdom,Grain Media Violet Films,Won 1 Oscar. 5 wins & 4 nominations total,"8,056",7.5
72,Audrie & Daisy,A look at the effects that online bullying has on the lives of teenagers and their community.,"Documentary, Crime",Mature Audiences,movie,95,2016-01-01,"['Bonni Cohen', 'Jon Shenk']","Robin Bourland, Daisy Coleman, Charles Coleman",United States,Actual Films,2 wins & 8 nominations,"6,935",7.2
73,Amanda Knox,American exchange student Amanda Knox is convicted and eventually acquitted for the 2007 death of another student in Italy.,"Documentary, Crime",Mature Audiences,movie,92,2016-01-01,"['Rod Blackhurst', 'Brian McGinn']","Amanda Knox, Meredith Kercher, Raffaele Sollecito","Denmark, United States",,Nominated for 2 Primetime Emmys. 8 nominations total,"25,653",6.9
74,13th,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"Documentary, Crime, History",Mature Audiences,movie,100,2016-01-01,Ava DuVernay,"Melina Abdullah, Michelle Alexander, Cory Booker",United States,Kandoo Films,Nominated for 1 Oscar. 32 wins & 47 nominations total,"37,001",8.2
75,Sky Ladder: The Art of Cai Guo-Qiang,"Trace the rise of contemporary artist Cai Guo-Qiang from childhood in Mao's China to global art world superstar, and join his quest to realize his lifelong obsession: Sky Ladder.",Documentary,Not Rated,movie,76,2016-01-01,,"Ian Buruma, Guo-Qiang Cai, Wen-You Cai",United States,,1 nomination,"1,597",7.3
76,Into the Inferno,An exploration of active volcanoes around the world.,Documentary,Not Rated,movie,104,2016-01-01,Werner Herzog,"Werner Herzog, Katia Krafft, Maurice Krafft","United Kingdom, Germany, Canada",,5 nominations,"9,581",7.2
