,Title,Description,Genre,Rated,Type,Running Time,Release Date,Director,Cast,Country,Production Company,Wins_Nominations,IMDb Votes,IMDb Score
266,Drive,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,"Action, Drama",Mature Audiences,movie,119,2011-01-01,Tarun Mansukhani,"Ryan Gosling, Carey Mulligan, Bryan Cranston",United States,Dharma Productions,Nominated for 1 Oscar. 79 wins & 180 nominations total,"683,436",7.8
267,Holiday in the Wild,"Jilted by her husband on the eve of embarking on an African safari, a woman travels to the continent solo and meets an elephant conservationist.","Comedy, Drama, Romance",Parental Guidance,movie,86,2019-01-01,Ernie Barbarash,"Rob Lowe, Kristin Davis, Fezile Mpela",United States,MPCA,,"16,524",6.2
268,Let It Snow,"In a small town on Christmas Eve, a snowstorm brings together a group of young people.","Comedy, Romance",Parental Guidance,movie,92,2019-01-01,Luke Snellin,"Isabela Merced, Shameik Moore, Odeya Rush",United States,Dylan Clark Productions,1 nomination,"23,847",5.8
269,Earthquake Bird,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead.","Crime, Drama, Mystery",Mature Audiences,movie,107,2019-01-01,Wash Westmoreland,"Alicia Vikander, Kiki Sukezane, Kenichi Masuda","United Kingdom, Japan, United States","['Scott Free Productions', 'Twenty First City']",,"15,487",6.0
270,House Arrest,"Desperate to keep their various parents from getting divorced, a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile.","Comedy, Family",Parental Guidance,movie,104,1996-01-01,"['Samit Basu', 'Shashanka Ghosh']","Jamie Lee Curtis, Kevin Pollak, Kyle Howard",United States,India Stories,1 nomination,"9,096",5.8
271,Klaus,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Animation, Adventure, Comedy",Parental Guidance,movie,97,2019-01-01,Sergio Pablos,"Jason Schwartzman, J.K. Simmons, Rashida Jones","Spain, United Kingdom, United States","['Netflix Animation', 'The SPA Studios', 'Atresmedia Cine']",Nominated for 1 Oscar. 11 wins & 26 nominations total,"171,989",8.2
272,The Knight Before Christmas,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,"Adventure, Comedy, Drama",Parental Guidance,movie,92,2019-01-01,['Monika Mitchell'],"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui",United States,"['MPCA', 'Brad Krevoy Productions']",1 win & 2 nominations,"19,360",5.6
273,The Irishman,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.","Biography, Crime, Drama",Mature Audiences,movie,209,2019-01-01,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci",United States,"['Tribeca Productions', 'Sikelia Productions', 'Winkler Films']",Nominated for 10 Oscars. 73 wins & 356 nominations total,"413,838",7.8
274,Holiday Rush,"After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.","Comedy, Drama, Family",Parental Guidance,movie,94,2019-01-01,['Leslie Small'],"Romany Malco, Sonequa Martin-Green, Darlene Love",United States,['Poke Prod Production'],3 nominations,"3,005",4.9
275,I Lost My Body,"A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.","Animation, Drama, Fantasy",Mature Audiences,movie,81,2019-01-01,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao",France,Xilam Animation,Nominated for 1 Oscar. 32 wins & 55 nominations total,"35,402",7.5
276,Dead Kids,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.,Thriller,Mature Audiences,movie,94,2019-01-01,['Mikhail Red'],"Kelvin Miranda, Vance Larena, Khalil Ramos","Philippines, United States","['Globe Studios', 'Pelikula Red', 'Asmik Ace']",,641,5.5
277,A Christmas Prince: The Royal Baby,"It's Christmastime in Aldovia, and a royal baby is on the way. Amber and Richard host royals from a distant kingdom to renew a sacred truce, but when the treaty vanishes, peace is jeopardized and an ancient curse threatens their f...","Family, Romance",Parental Guidance,movie,85,2019-01-01,John Schultz,"Rose McIver, Ben Lamb, Alice Krige",United States,MPCA,,"7,453",5.4
278,Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Drama, Romance",Mature Audiences,movie,137,2019-01-01,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer","United Kingdom, United States",Heyday Films,Won 1 Oscar. 127 wins & 271 nominations total,"333,113",7.9
279,6 Underground,"Six individuals from all around the globe, each the very best at what they do, have been chosen not only for their skill, but for a unique desire to delete their pasts to change the future.","Action, Thriller",Mature Audiences,movie,128,2019-01-01,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo",United States,"['Skydance', 'Bay Films']",2 wins & 12 nominations,"190,543",6.1
280,The Two Popes,"Behind Vatican walls, the conservative Pope Benedict XVI and the liberal future Pope Francis must find common ground to forge a new path for the Catholic Church.","Biography, Comedy, Drama",Parental Guidance,movie,125,2019-01-01,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín","United Kingdom, Italy, United States",Rideback,Nominated for 3 Oscars. 11 wins & 57 nominations total,"130,117",7.6
281,Como caído del cielo,Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.,"Comedy, Drama, Musical",Mature Audiences,movie,112,2019-01-01,José Pepe Bojórquez,"Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo",Mexico,"['Caldera/De Fanti Entertainment', 'Esparza Caldera Entertainment', 'La Victoria Films', 'Netflix']",,"1,544",6.5
282,The App,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.","Drama, Sci-Fi, Thriller",Not Rated,movie,79,2019-01-01,Elisa Fuksas,"Salvatore Costa, Vincenzo Crea, Jessica Cressy",Italy,"['Indiana Production Company', 'Netflix']",,"1,408",2.8
283,ReMastered: Massacre at the Stadium,"This documentary questions who killed Victor Jara, Chilean musician and activist who died during the dictatorship in his country.","Documentary, Drama",Mature Audiences,movie,64,2019-01-01,B.J. Perlmutt Bent-Jorgen Perlmutt,"Víctor Jara, Joan Jara, Pascale Bonnefoy",United States,,2 nominations,846,7.3
284,Fyre,An exclusive behind the scenes look at the infamous unraveling of the Fyre music festival.,"Documentary, Crime, Music",Mature Audiences,movie,97,2019-01-01,Chris Smith,"Billy McFarland, Jason Bell, Gabrielle Bluestone",United States,"['Jerry Media', 'Library Films', 'Vice Studios', 'MATTE Projects']",Nominated for 4 Primetime Emmys. 6 nominations total,"50,701",7.2
285,ReMastered: The Two Killings of Sam Cooke,An investigation into the circumstances and controversy surrounding Sam Cooke's murder.,"Documentary, Music",Mature Audiences,movie,74,2019-01-01,Kelly Duane,"Sam Cooke, Quincy Jones, Smokey Robinson",United States,,1 nomination,"2,403",7.2
286,Period. End of Sentence.,Indian women fight the stigma surrounding menstruation and begin manufacturing sanitary pads.,"Documentary, Short",Parental Guidance,movie,25,2018-01-01,Rayka Zehtabchi,"Ajeya, Anita, Gouri Choudari",United States,,Won 1 Oscar. 13 wins & 1 nomination total,"6,338",7.4
288,ReMastered: The Miami Showband Massacre,"In 1974, while on the way home from a gig, the apolitical rock group, The Miami Showband, fell into the crosshairs of a Protestant unionist paramilitary group that planted explosives on their bus when it was stopped at a fake chec...","Documentary, Crime, Music",Not Rated,movie,71,2019-01-01,Stuart Sender,"Stephen Travers, Bertie Ahern, Alan Brecknell",United States,,1 nomination,"1,535",6.9
289,The Legend of Cocaine Island,A desperate man goes on a buried treasure hunt for $2 million worth of cocaine.,Documentary,Mature Audiences,movie,83,2018-01-01,Theo Love,"Bo Butterworth, Bri Bryant, Edward Craig",United States,,2 wins & 1 nomination,"3,490",6.3
291,Brené Brown: The Call to Courage,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,"Documentary, Drama",Not Rated,movie,76,2019-01-01,Sandra Restrepo,Brené Brown,,,,"1,771",7.7
292,Grass Is Greener,A look at America's complicated relationship with cannabis.,Documentary,Mature Audiences,movie,97,2019-01-01,,"Harry J. Anslinger, Louis Armstrong, B-Real",,,,"1,496",7.1
293,ReMastered: Devil at the Crossroads,"A look at the short, mysterious life of blues legend, Robert Johnson, who was said to have made a deal with the Devil at a crossroads in rural Mississippi.","Documentary, Biography",Not Rated,movie,48,2019-01-01,Brian Oakes,"Terry Harmonica Bean, Rory Block, Yvonne Chireau",United States,,1 nomination,"2,990",7.0
294,Knock Down the House,A look at the people involved with various political campaigns during the 2018 U.S. congressional election.,Documentary,Parental Guidance,movie,86,2019-01-01,Rachel Lears,"Alexandria Ocasio-Cortez, Cori Bush, Joe Crowley",United States,"['Jubilee Films', 'Atlas Films', 'Artemis Rising Films']",6 wins & 13 nominations,"12,896",7.4
295,All in My Family,"From documentarian Hao Wu comes a heartfelt portrait of how he created a thoroughly modern family in America, only to face the dilemma of introducing his same-sex partner and their children to his deeply traditional parents and re...","Documentary, Short, Family",Not Rated,movie,39,2019-01-01,Hao Wu,,United States,,,750,6.8
296,ReMastered: The Lion's Share,"South African journalist Rian Malan searches for the original writers of the legendary song ""The Lion Sleeps Tonight.""","Documentary, Music",Not Rated,movie,84,2018-01-01,Sam Cullman,"Rian Malan, Solomon Linda, Delphi Linda",,,2 wins & 1 nomination,689,6.9
297,A Tale of Two Kitchens,"Two countries, two restaurants, one vision. A Tale of Two Kitchens explores the ways in which a restaurant can serve as a place of both dignity and community.","Documentary, Short",Not Rated,movie,29,2019-01-01,Trisha Ziff,,"United States, Mexico",,,319,6.3
298,After Maria,Strong Puerto Rican women forced to flee the island after Hurricane Maria have bonded like family in a FEMA hotel in the Bronx. They seek stability in their new life as forces try to pull them apart.,"Documentary, Short",Not Rated,movie,37,2019-01-01,Nadia Hallgren,Glenda Martes,United States,One Story Up Productions,2 nominations,423,4.9
299,The Black Godfather,"Follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.","Documentary, Biography",Mature Audiences,movie,118,2019-01-01,Reginald Hudlin,"Clarence Avant, Hank Aaron, Gwen Adolph",United States,Boardwalk Pictures Makemake,Nominated for 1 Primetime Emmy. 4 wins & 5 nominations total,"1,486",7.5
301,Life Overtakes Me,"In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.","Documentary, Short",Parental Guidance,movie,39,2019-01-01,"['Kristine Samuelson', 'John Haptas']","Henry Ascher, Nadja Hatem, Mikael Billing","Sweden, United States",,Nominated for 1 Oscar. 2 wins & 2 nominations total,"2,084",6.5
302,The Edge of Democracy,Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,"Documentary, History",Mature Audiences,movie,121,2019-01-01,Petra Costa,"Dilma Rousseff, Luiz Inácio Lula da Silva, Marisa Letícia Lula da Silva",Brazil,['Busca Vida Filmes'],Nominated for 1 Oscar. 3 wins & 15 nominations total,"15,518",7.3
303,Parchis: The Documentary,"A documentary about the rise and fall of the Spanish children's music group, Parchis.",Documentary,Not Rated,movie,106,2019-01-01,Daniel Arasanz,"Eva Mariol, Imma Cabecerans, Joaquín Oristrell",Spain,,,573,6.8
304,The Great Hack,The Cambridge Analytica scandal is examined through the roles of several affected persons.,"Documentary, Biography, History",Mature Audiences,movie,113,2019-01-01,"['Karim Amer', 'Jehane Noujaim']","Brittany Kaiser, David Carroll, Paul-Olivier Dehaye",United States,The Othrs,Nominated for 1 Primetime Emmy. 1 win & 4 nominations total,"24,630",7.0
305,Enter the Anime,"It is a documentary aimed at newcomers to anime, and follows anime newbie, Alex Burunova, as she dives into the mysterious world of the genre. The documentary features some of the biggest anime stars like Kenji Kamiyama, Shinji Ar...",Documentary,Not Rated,movie,58,2019-01-01,Alex Burunova,"Shinji Aramaki, Kôzô Morishita, Tania Nolan","United States, Japan",,,"1,798",2.6
306,American Factory,"In post-industrial Ohio, a Chinese billionaire opens a factory in an abandoned General Motors plant, hiring two thousand Americans. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class...",Documentary,Mature Audiences,movie,110,2019-01-01,"['Steven Bognar', 'Julia Reichert']","Junming 'Jimmy' Wang, Robert Allen, Sherrod Brown",United States,"['Higher Ground Productions', 'Participant Media']",Won 1 Oscar. 19 wins & 49 nominations total,"23,223",7.4
