,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score
98,Rodney King,Roger Guenveur Smith performs his one man show focusing on the life and times of Rodney King.,"Comedy, Drama",Mature Audiences,52,2017-01-01,Spike Lee,Roger Guenveur Smith,United States,0,No Production Company Listed,1,0,1,631,6.2
99,The Polka King,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.,"Biography, Comedy, Drama",Mature Audiences,95,2017-01-01,Maya Forbes,"Jack Black, Jenny Slate, Jason Schwartzman",United States,0,Red Hour Productions,0,1,0,11569,6.0
100,Step Sisters,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance.",Comedy,Parental Guidance,108,2018-01-01,Charles Stone III,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith",United States,0,Los Angeles Media Fund,0,0,0,4774,5.5
101,Open House,"A couple on the verge of a nasty divorce attempt to sell their empty love nest and move on with their lives, separately. After a successful open house they are horrified to discover, days later, that a potential buyer didn't leave...","Crime, Drama, Thriller",Mature Audiences,94,2010-01-01,Matt Angel,"Brian Geraghty, Rachel Blanchard, Anna Paquin",United States,0,No Production Company Listed,1,0,2,2579,4.3
102,A Futile and Stupid Gesture,"In the 1970s and '80s, National Lampoon's success and influence creates a new media empire overseen in part by the brilliant and troubled Douglas Kenney.","Biography, Comedy",Mature Audiences,101,2018-01-01,David Wain,"Frank Gingerich, Morgan Gingerich, Annette O'Toole",United States,0,Abominable Pictures,1,0,2,17438,6.7
103,The Cloverfield Paradox,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality.","Action, Adventure, Horror",Parental Guidance,102,2018-01-01,Julius Onah,"Gugu Mbatha-Raw, David Oyelowo, Daniel Brühl",United States,0,Paramount Pictures,1,0,1,110466,5.5
104,When We First Met,"Noah meets Avery at a Halloween party and falls in love but gets friend-zoned. 3 years later, she's engaged to someone else. Noah returns in a time machine to fix things.","Comedy, Fantasy, Romance",Mature Audiences,97,2018-01-01,Ari Sandel,"Adam Devine, Alexandra Daddario, Shelley Hennig",United States,0,Footprint Features,1,0,0,52542,6.4
105,Love Per Square Foot,"Individually, Sanjay and Karina don't earn enough to be able to buy a home, so they enter into a marriage of convenience.","Comedy, Romance",Mature Audiences,133,2018-01-01,Anand Tiwari,"Vicky Kaushal, Angira Dhar, Alankrita Sahai",India,0,RSVP Movies,0,0,1,8810,7.2
106,Irreplaceable You,A man and a woman who have known each other since age 8 are destined to be together until death does them part.,"Comedy, Drama, Romance",Mature Audiences,96,2018-01-01,Stephanie Laing,"Gugu Mbatha-Raw, Michiel Huisman, Steve Coogan",United States,0,ACE,1,0,0,10176,6.4
107,Mute,A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.,"Mystery, Sci-Fi, Thriller",Mature Audiences,126,2018-01-01,Duncan Jones,"Alexander Skarsgård, Paul Rudd, Justin Theroux",United Kingdom,1,Liberty Films UK,1,0,1,37338,5.4
