,Title,Description,Genre,Rated,Running Time(mins),Release Date,Director,Cast,Primary Country,International,Lead Production Company,Multiple Production Companies,Wins,Nominations,IMDb Votes,IMDb Score,Plot
53,Christmas Inheritance,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?","Comedy, Drama, Romance",Not Rated,104,2017-12-15,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell",United States,1,MPCA,0,0,0,12655.0,5.7,"Before ambitious heiress Ellen Langford can inherit her father's gift business, she must deliver a special Christmas card to her dad's former partner in Snow Falls, the hometown she never knew. When a snowstorm strands her at the town inn, she's forced to work for her keep, and in the process, finds romance and discovers the true gift of Christmas."
54,Bright,A detective must work with an Orc to find a powerful wand before evil creatures do.,"Action, Fantasy, Thriller",Mature Audiences,118,2017-12-13,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace",United States,0,Overbrook Entertainment,1,1,7,196651.0,6.3,"In Los Angeles, humans live with orcs and elves in a world where fantasy creatures do exist. LAPD police officer Dayl Ward is the first human cop having the orc police officer Nick Jakoby as a partner. When Ward is shot by an orc and Jakoby does not capture the shooter, he questions whether Jakoby lets the fellow orc escape. During a patrol, Ward and Jakoby arrest a man that tells that there is a prophecy and Ward is blessed. Meanwhile, Internal Affairs press Ward to find the truth about the escape of the shooter so that they can fire Jakoby. The magic department of the FBI interrogates the man that belongs to the terrorist Shield of Light group which protects brights so that they can prepare for the return of the Dark Lord that will destroy the world. Ward and Jakoby are summoned to attend a disturbance and they stumble upon a Shield of Light safe-house where they arrest the elf Tikka and bag her magic wand. Soon they learn that Tikka is hunted down by the evil and powerful rogue elf Leilah and her Terrorist group Inferni which are the ones actually trying to resurrect the dark lord and they need to protect Tikka and the wand; otherwise the world will be destroyed. What will they do?"
55,My Own Man,"When a man discovers he will be the father to a boy, his fear and insecurities send him on an emotional, humorous quest for his own manhood.","Documentary, Comedy, Drama",Mature Audiences,82,2014-12-31,David Sampliner,No Cast Available,United States,0,Class 5 Films,1,0,0,456.0,6.4,"David the filmmaker is 40 years old, but he still doesn't feel like a man - not a real man anyway. When his wife becomes pregnant with a boy, David's manhood insecurities deepen. How can he bring his son into manhood if he feels so estranged from his own? This question sets him off on a quest for his manhood that leads him from voice lessons to a men's group to deer-hunting, and ultimately back to his own father. My Own Man is an intimate, humorous, and emotional account of one man's search for what it means to be a man and a father in the 21st century."
56,"The Other One: The Long, Strange Trip of Bob Weir","A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood.","Documentary, Biography, Music",Not Rated,85,2015-05-22,Mike Fleiss,"John Perry Barlow, Chuck Berry, Neal Cassady",United States,0,Next Entertainment,0,1,0,1737.0,7.3,"A documentary that explores Bob Weirs life, through the Grateful Dead, Ratdog, and his childhood."
57,Hot Girls Wanted,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,Documentary,Mature Audiences,84,2015-01-24,Jill Bauer,"Tressa Silguero, Riley Reynolds, Rachel Bernard",United States,0,Two to Tangle Productions,0,0,2,18196.0,6.1,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.
58,"What Happened, Miss Simone?","A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul.""","Documentary, Biography, Music",Not Rated,101,2015-01-22,Liz Garbus,"Nina Simone, Lisa Simone Kelly, Roger Nupie",United States,0,No Production Company Listed,1,6,19,14441.0,7.6,"On stage Nina Simone was known for her utterly free, uninhibited musical expression, which enthralled audiences and attracted life-long fans. But amid the violent, haunting, and senseless day-to-day of the civil rights era in 1960s America, Simone struggled to reconcile her artistic identity and ambition with her devotion to a movement. Culled from hours of autobiographical tapes, this new film unveils the unmitigated ego of a brilliant artist and the absurdities of her time. At the height of her fame Simone walked away from her family, country, career and fans, to move to Liberia and give up performing. The story of her life leading up to that event poses the question, 'how does royalty stomp around in the mud and still walk with grace?'"
59,Tig,"The personal Biography of Tig Notaro, a Stand-up comedian who was diagnosed with cancer.","Documentary, Biography",Mature Audiences,95,2015-07-17,Kristina Goolsby,"Stephanie Allynne, Zach Galifianakis, Sarah Silverman",United States,0,Netflix,0,0,3,2772.0,7.4,"An intimate, mixed media documentary that follows Tig Notaro, a Los Angeles based comedian, who just days after being diagnosed with invasive stage II breast cancer changed the course of her career with a poignant stand-up set that became legendary overnight. This documentary explores Tig's extraordinary journey as her career ignites and as her life unfolds in grand and unexpected ways, all the while continuing to battle a life-threatening illness and falling in love. This film is a hybrid of comedy and drama that captures a personal journey about facing crisis head on with honesty and grace and overcoming pain and suffering with the healing power of comedy. It's a story about moving forward during a period of your life when you don't know what is going to happen. When you are willing to risk it all for what you believe is the right thing to do and for what you want to happen in this life."
60,Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","Documentary, Music",Parental Guidance,81,2015-09-18,Morgan Neville,"Keith Richards, Anthony DeCurtis, Steve Jordan",United States,0,No Production Company Listed,1,0,3,3546.0,7.1,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer."
61,Winter on Fire: Ukraine's Fight for Freedom,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.","Documentary, History, War",Not Rated,102,2015-09-03,Evgeny Afineevsky,"His Beatitude Sviatoslav, Said Ismagilov, Bishop Agapit",United Kingdom,1,Netflix,0,2,5,20039.0,8.3,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich."
62,My Beautiful Broken Brain,"After suffering a stroke at age 34, a woman documents her struggles, setbacks and eventual breakthrough as she relearns to speak, read and write.","Documentary, Biography",Mature Audiences,84,2016-03-18,Sophie Robinson,"David Lynch, Sophie Robinson, Hente Sodderland",United Kingdom,0,No Production Company Listed,1,2,6,2395.0,7.1,"MY BEAUTIFUL BROKEN BRAIN is 34 year old Lotje Sodderland's personal voyage into the complexity, fragility and wonder of her own brain following a life changing hemorrhagic stroke. Regaining consciousness to an alien world - Lotje was thrown into a new existence of distorted reality where words held no meaning and where her sensory perception had changed beyond recognition. This a story of pioneering scientific research to see if her brain might recover - with outcomes that no one could have predicted. It is a film about hope, transformation and the limitless power of the human mind."
63,Team Foxcatcher,"Documentary filmmaker Jon Greenhalgh examines the life of Dave Schultz, a professional wrestler who was part of 'Team Foxcatcher', funded by multi-millionaire John du Pont.","Documentary, Biography, Crime",Mature Audiences,90,2016-04-18,Jon Greenhalgh,"John du Pont, Dave Schultz, Mike Gostigian",United States,0,No Production Company Listed,1,0,3,6922.0,7.3,"Team Foxcatcher (2016) is a documentary about how John du Pont used his money supposedly to help the USA Olympic Wrestling Team by building expensive training facilities on his home property, called 'Foxcatcher'. Dave Schultz, the USA's most successful wrestler at the time, was among the closest friends of John du Pont, defending him when Du Pont's bizarre activities began to cause concern among those living on the 'Foxcatcher' estate. Eventually, Schultz's loyalty to John du Pont would cost him his life."
64,Tony Robbins: I Am Not Your Guru,"TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind the scenes of his mammoth seminar ""Date Wit...",Documentary,Mature Audiences,115,2016-03-14,Joe Berlinger,"Sage Bonnie Humphrey, Steven Kronick, Anthony Robbins",United States,0,No Production Company Listed,1,3,1,4592.0,6.6,"TONY ROBBINS: I AM NOT YOUR GURU, a feature documentary film about internationally renowned life and business strategist Tony Robbins, is a revelatory cinéma vérité film that goes behind the scenes of his mammoth seminar ""Date With Destiny,"" attended by over 2,500 people in Boca Raton, Florida, each year, to give an insider look at how one man can affect millions. Granted never before seen access to the behind the scenes modus operandi of this enormous event, this film captures both the immense effort of producing this live seminar, as well as the life-changing transformations of the participants in real time. Embedding with Tony Robbins and his team over the course of six days, Academy Award nominated filmmaker Joe Berlinger turns an unflinching eye on Tony Robbins' powerful and uncompromising approach to achieving success, ensuring the attendees leave ""Date With Destiny"" with new perspective on the forces, thoughts, and feelings that motivate their behavior and help them take control of their lives. Pulling back the curtain on Tony Robbins, a man that traverses the globe and counsels over 200,000 people annually, including world leaders, pundits, entrepreneurs, CEOs, athletes and celebrities, through interviews and unprecedented access, TONY ROBBINS: I AM NOT YOUR GURU is an emotional tour de force that unveils the inner-workings of this mega event, the zealous participants and the man himself."
